Species,Size (cm),Age Class,Location,Coral Bites,Rubble Bites,Sand Bites,Turf Bites,Macro Bites,CCA Bites,Sponge Bites,Collector
Z cornutus,8,Juvenile,L,2,5,,,,,,Jake
Z cornutus,8,Juvenile,L,,17,,5,,,,Jake
Z cornutus,6,Juvenile,L,,12,,6,,,,Jake
Z cornutus,8,Juvenile,S,,,,4,,,,Jake
Z cornutus,9,Juvenile,S,,,,4,,,,Jake
Z cornutus,6,Juvenile,L,,11,,,,,,Emily
Z cornutus,7.5,Juvenile,L,,14,,,,,,Emily
Z cornutus,8,Juvenile,L,,30,,,,,33,Emily
Z cornutus,8,Juvenile,L,,,,,,,,Emily
Z cornutus,7,Juvenile,L,,,,,,6,,Emily
Z cornutus,7,Juvenile,L,,19,3,,,,,Emily
Z cornutus,7.5,Juvenile,L,,21,,,,,,Emily
Z cornutus,6,Juvenile,L,,59,,,,,,Emily
Z cornutus,8,Juvenile,S,,1,,,,,,Emily
Z cornutus,6.5,Juvenile,S,,1,,,,,2,Emily
Z cornutus,9.5,Juvenile,S,,,,14,,,5,Jake
Z cornutus,9,Juvenile,S,,,,7,,,1,Jake
Z cornutus,9,Juvenile,S,,,,8,,,7,Jake
Z cornutus,8,Juvenile,S,,5,,12,,,16,Jake
Z cornutus,10,Juvenile,S,,,,20,,,,Jake
Z cornutus,12,Adult,S,,,,,,,,Jake
Z cornutus,10,Adult,L,,1,,5,,,,Jake
Z cornutus,14,Adult,S,,4,,,,,,Emily
Z cornutus,20,Adult,S,,,,,,,,Emily
Z cornutus,13,Adult,S,,,,,,,,Emily
Z cornutus,17.5,Adult,S,,,,,,,,Emily
Z cornutus,25,Adult,S,,,,,,,,Emily
Z cornutus,23,Adult,S,5,,,,,,9,Emily
Z cornutus,19,Adult,S,,,,,,,,Emily
Z cornutus,21,Adult,S,1,,,,,,,Emily
Z cornutus,19,Adult,S,,,,,,,,Emily
Z cornutus,25,Adult,S,,,,,,,,Emily
Z cornutus,13,Adult,S,,,,1,,1,1,Jake
Z cornutus,14,Adult,S,,,,2,,,1,Jake
Z cornutus,12,Adult,S,,,,1,,,3,Jake
Z cornutus,18.5,Adult,S,,,,3,,2,,Jake
Z cornutus,13.5,Adult,S,,5,,,,,,Jake
Z cornutus,14,Adult,S,,,,1,,,3,Jake
Z cornutus,14,Adult,S,,,,3,,,23,Jake
Z cornutus,13,Adult,S,,,,3,,,,Jake
A triostegus,5,Juvenile,L,,,3,176,,,,Jake
A triostegus,4.5,Juvenile,L,,,,195,,,,Jake
A triostegus,5,Juvenile,L,,115,16,,,,,Jake
A triostegus,5,Juvenile,L,,,,155,,,,Jake
A triostegus,4,Juvenile,L,,,,167,,,,Jake
A triostegus,5,Juvenile,L,,170,,5,,,,Jake
A triostegus,3,Juvenile,F,,,,80,,2,,Jake
A triostegus,4,Juvenile,L,,99,,,,,,Jake
A triostegus,6,Juvenile,L,2,100,,,14,,,Emily
A triostegus,5.5,Juvenile,L,3,98,,,,,,Emily
A triostegus,5,Juvenile,L,,40,,,,,,Emily
A triostegus,4,Juvenile,L,,,,151,,,,Emily
A triostegus,4.5,Juvenile,L,,,,157,,,,Emily
A triostegus,4,Juvenile,L,,,,162,,,,Emily
A triostegus,5.5,Juvenile,L,,170,4,,,,,Emily
A triostegus,4,Juvenile,L,,108,,,,,,Emily
A triostegus,3.5,Juvenile,F,,1,,110,,,,Emily
